,,Total,Avon and Somerset,Bedfordshire,Cambridgeshire,Cheshire,City of London,Cleveland,Cumbria,Derbyshire,Devon and Cornwall,Dorset,Durham,Dyfed Powys,Essex,Gloucestershire,Greater Manchester,Gwent,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,London Met.,Merseyside,Norfolk,North Wales,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Wales,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire
,Housing Association,3%,2%,-,2%,4%,-,-,-,5%,2%,6%,7%,3%,-,-,3%,4%,11%,6%,2%,-,5%,2%,3%,5%,7%,-,-,-,-,-,-,3%,3%,2%,-,9%,-,3%,-,5%,2%,1%,5%
,Environmental Health,1%,-,3%,-,2%,-,-,-,-,-,-,-,-,3%,-,1%,2%,3%,-,-,-,5%,-,-,1%,-,-,-,-,-,2%,2%,-,-,2%,-,9%,3%,-,3%,3%,2%,1%,-
,Anti-social Behaviour Team,1%,-,-,-,-,-,5%,-,-,2%,3%,-,-,-,-,2%,-,-,-,-,-,-,-,-,1%,4%,-,-,-,3%,-,-,3%,-,-,2%,2%,-,3%,-,-,4%,1%,-
,MP/councillor,1%,-,-,2%,-,-,2%,2%,-,-,-,-,-,-,-,1%,4%,3%,-,-,-,-,-,-,-,4%,-,-,-,-,-,-,3%,-,2%,2%,-,-,-,-,-,1%,1%,-
,Social Services,1%,-,3%,-,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,3%,-,-,3%,-,-,2%,-,-,-,-,-,-,-,-,-,-,4%,-,-,3%,-,-,-,1%,2%
,Victim Support,*,-,-,-,-,-,-,-,-,2%,-,-,-,3%,2%,3%,2%,-,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Wardens,*,2%,-,-,-,-,7%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3%,-,3%,-,-,-,3%,2%,-,2%,-,-,-,-,-,-,-
,Fire Brigade,*,2%,-,-,-,-,-,-,-,2%,-,-,-,-,2%,1%,-,-,-,-,-,-,-,-,-,4%,-,-,-,-,-,-,-,-,-,-,-,-,-,3%,-,1%,1%,-
,Police,*,-,-,-,-,-,-,-,2%,-,-,-,-,3%,-,-,-,-,3%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4%,-,-,-,-,3%,1%,1%,-
,School/university,*,-,-,-,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3%,-,-,3%,-,3%,-,-,2%,3%,-,-,2%,-,-,3%,-,-,-,-,-
,PCSO,*,-,3%,-,-,-,2%,-,-,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,1%,-
,Noise Pollution/ Noise Environment Department,*,-,-,-,-,25%,-,-,-,-,-,-,3%,-,-,-,-,-,-,-,-,-,-,-,1%,-,-,-,-,-,-,-,-,-,2%,-,-,-,3%,-,-,-,-,-
,Safer Neighbourhood Team,*,-,3%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2%,-,-,-,-,-,-,-,-,-,-,2%,-,-,-,-,-,1%,-,-
,Residents,*,-,-,-,-,-,-,-,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-
,Other,1%,-,-,-,-,-,2%,3%,3%,9%,-,2%,-,-,2%,1%,2%,-,3%,-,6%,3%,-,-,1%,7%,-,3%,-,3%,-,-,3%,3%,-,-,-,-,3%,3%,-,-,1%,-
,Don't know who,*,2%,3%,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1%,-
,No,71%,57%,65%,64%,71%,75%,60%,83%,72%,61%,75%,73%,78%,79%,80%,70%,72%,66%,54%,77%,69%,59%,67%,75%,68%,59%,77%,70%,92%,82%,86%,80%,68%,74%,60%,80%,59%,64%,67%,79%,74%,68%,71%,73%
,Don't know/ can't remember,10%,14%,14%,20%,13%,-,21%,8%,6%,16%,17%,5%,10%,6%,5%,7%,9%,11%,11%,9%,14%,8%,20%,9%,11%,11%,3%,5%,-,-,2%,7%,18%,11%,12%,7%,14%,22%,11%,9%,10%,10%,15%,11%

,Base: All who say that other local services took action as a result of their call,400,13,8,7,8,1,8,6,14,10,3,10,5,5,7,35,10,8,12,7,6,12,6,5,27,8,8,9,3,6,5,6,5,5,15,6,12,5,8,4,6,29,20,7
Q.31.,How satisfied or dissatisfied were you with the action taken by this/ these services?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Very satisfied,55%,54%,50%,86%,38%,-,75%,83%,57%,70%,100%,30%,20%,20%,71%,49%,80%,75%,50%,57%,17%,42%,50%,100%,37%,63%,38%,56%,33%,50%,40%,50%,100%,80%,40%,50%,50%,60%,63%,75%,50%,55%,65%,71%
,Fairly satisfied,23%,15%,25%,14%,50%,100%,13%,17%,21%,30%,-,20%,20%,40%,14%,26%,10%,25%,17%,29%,50%,42%,33%,-,22%,25%,38%,11%,33%,-,20%,17%,-,-,33%,50%,25%,20%,13%,-,17%,24%,30%,-
,Neither satisfied nor dissatisfied,3%,-,-,-,-,-,-,-,-,-,-,-,-,20%,-,3%,-,-,8%,-,-,-,17%,-,7%,-,13%,-,-,-,-,17%,-,-,-,-,-,-,13%,-,-,3%,-,-
,Fairly dissatisfied,4%,8%,13%,-,13%,-,-,-,-,-,-,-,40%,-,-,9%,-,-,8%,14%,-,-,-,-,7%,-,-,-,-,17%,-,-,-,-,-,-,8%,-,-,25%,-,7%,-,-
,Very dissatisfied,13%,15%,13%,-,-,-,13%,-,21%,-,-,50%,20%,20%,-,9%,10%,-,8%,-,33%,8%,-,-,26%,-,13%,33%,33%,17%,40%,-,-,20%,27%,-,17%,20%,13%,-,33%,10%,-,29%
,Don't know,3%,8%,-,-,-,-,-,-,-,-,-,-,-,-,14%,6%,-,-,8%,-,-,8%,-,-,-,13%,-,-,-,17%,-,17%,-,-,-,-,-,-,-,-,-,-,5%,-
,SATISFIED,78%,69%,75%,100%,88%,100%,88%,100%,79%,100%,100%,50%,40%,60%,86%,74%,90%,100%,67%,86%,67%,83%,83%,100%,59%,88%,75%,67%,67%,50%,60%,67%,100%,80%,73%,100%,75%,80%,75%,75%,67%,79%,95%,71%
,DISSATISFIED,18%,23%,25%,-,13%,-,13%,-,21%,-,-,50%,60%,20%,-,17%,10%,-,17%,14%,33%,8%,-,-,33%,-,13%,33%,33%,33%,40%,-,-,20%,27%,-,25%,20%,13%,25%,33%,17%,-,29%
,NET SATISFIED,60%,46%,50%,100%,75%,100%,75%,100%,57%,100%,100%,0%,-20%,40%,86%,57%,80%,100%,50%,71%,33%,75%,83%,100%,26%,88%,63%,33%,33%,17%,20%,67%,100%,60%,47%,100%,50%,60%,63%,50%,33%,62%,95%,43%

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.32.,To what extent do you feel your call made a difference to the problem you were calling about?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Made a big difference,31%,38%,30%,38%,36%,71%,39%,39%,31%,31%,36%,36%,34%,30%,21%,26%,29%,35%,28%,33%,29%,27%,33%,31%,26%,25%,39%,36%,35%,35%,34%,27%,30%,31%,34%,34%,30%,27%,27%,24%,30%,29%,29%,29%
,Made a little difference,23%,18%,20%,24%,24%,29%,23%,20%,27%,25%,22%,19%,22%,18%,30%,24%,27%,16%,18%,20%,25%,31%,25%,23%,18%,28%,23%,23%,16%,25%,29%,29%,16%,21%,24%,25%,22%,27%,20%,29%,13%,26%,25%,15%
,Made no difference,39%,39%,42%,32%,33%,-,35%,34%,38%,37%,35%,38%,37%,42%,42%,43%,37%,42%,46%,37%,36%,33%,37%,40%,47%,42%,30%,36%,46%,36%,31%,36%,44%,41%,36%,33%,44%,39%,41%,42%,46%,39%,38%,48%
,Don't know/ can't say,7%,5%,8%,6%,6%,-,3%,7%,4%,7%,7%,6%,7%,10%,6%,7%,7%,6%,8%,9%,9%,10%,6%,6%,10%,5%,8%,4%,3%,4%,6%,7%,10%,7%,7%,9%,4%,8%,12%,4%,11%,5%,7%,7%
,MADE A DIFFERENCE,54%,56%,50%,62%,61%,100%,61%,59%,58%,56%,58%,55%,56%,48%,52%,50%,56%,52%,46%,54%,55%,57%,58%,54%,43%,53%,62%,60%,51%,60%,63%,56%,46%,52%,58%,58%,52%,53%,48%,54%,43%,56%,55%,44%

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.33.,Would you encourage others to make similar reports of anti-social behaviour?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Yes, definitely",80%,80%,73%,86%,84%,100%,79%,83%,84%,79%,85%,82%,77%,83%,77%,70%,79%,83%,78%,86%,76%,82%,84%,81%,81%,76%,83%,87%,84%,81%,82%,83%,74%,74%,82%,87%,74%,71%,76%,83%,77%,80%,80%,79%
,"Yes, probably",10%,12%,16%,12%,10%,-,7%,11%,8%,13%,9%,13%,5%,6%,9%,13%,6%,9%,11%,9%,12%,10%,6%,4%,10%,11%,8%,7%,11%,6%,12%,5%,13%,9%,11%,5%,7%,15%,13%,7%,10%,9%,10%,9%
,Probably not,3%,-,7%,-,1%,-,4%,3%,1%,2%,4%,2%,3%,3%,3%,7%,4%,3%,2%,1%,1%,2%,3%,4%,2%,4%,2%,3%,1%,2%,2%,5%,3%,5%,2%,2%,6%,5%,5%,4%,4%,3%,3%,6%
,Definitely not,6%,6%,5%,1%,3%,-,7%,2%,6%,5%,2%,3%,12%,7%,9%,7%,9%,4%,6%,4%,8%,5%,7%,10%,4%,7%,5%,2%,3%,6%,3%,6%,9%,10%,3%,5%,9%,7%,4%,6%,8%,5%,5%,5%
,Don't know/ can't say,2%,1%,-,1%,2%,-,2%,2%,1%,-,-,-,3%,2%,2%,2%,2%,1%,3%,-,3%,1%,1%,1%,4%,1%,2%,-,1%,5%,1%,2%,-,1%,3%,1%,3%,1%,3%,-,1%,2%,2%,1%
,YES,89%,93%,88%,98%,94%,100%,86%,93%,92%,93%,94%,95%,82%,89%,86%,83%,85%,91%,89%,95%,87%,91%,89%,85%,90%,88%,91%,95%,95%,87%,94%,87%,88%,84%,92%,92%,81%,87%,88%,90%,87%,89%,90%,88%
,NO,9%,6%,12%,1%,4%,-,11%,5%,7%,7%,6%,5%,15%,10%,12%,14%,13%,8%,8%,5%,9%,7%,10%,14%,6%,11%,7%,5%,4%,8%,5%,11%,12%,15%,5%,7%,15%,12%,9%,10%,12%,9%,8%,11%
,NET YES,80%,87%,77%,97%,90%,100%,75%,89%,85%,86%,88%,89%,67%,79%,74%,69%,72%,84%,81%,90%,78%,84%,80%,71%,84%,76%,84%,89%,90%,79%,88%,76%,76%,68%,88%,85%,66%,74%,80%,80%,75%,80%,83%,77%

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.34.,"If you witnessed or experienced the same type of anti-social behaviour in the future, would you report the incident?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Yes,87%,87%,83%,93%,91%,100%,85%,92%,90%,87%,91%,90%,82%,90%,80%,82%,90%,88%,87%,89%,88%,86%,82%,87%,87%,89%,87%,90%,91%,88%,92%,86%,81%,84%,87%,88%,84%,83%,92%,85%,82%,86%,88%,81%
,No,7%,3%,8%,2%,2%,-,10%,1%,6%,8%,5%,3%,10%,7%,10%,10%,9%,8%,9%,8%,6%,5%,9%,8%,6%,10%,5%,4%,4%,7%,5%,7%,11%,10%,7%,6%,10%,10%,6%,2%,6%,8%,6%,9%
,It depends,6%,10%,9%,5%,6%,-,4%,7%,3%,5%,4%,6%,8%,3%,10%,7%,1%,3%,4%,3%,5%,7%,8%,4%,7%,1%,7%,5%,4%,5%,3%,6%,8%,6%,6%,6%,6%,6%,2%,11%,12%,6%,5%,9%
,Don't know,*,-,1%,-,1%,-,-,-,1%,-,-,-,-,-,-,1%,-,1%,-,-,-,1%,1%,1%,1%,-,1%,-,-,-,-,-,-,-,1%,-,-,1%,-,2%,-,*,*,1%
,NET YES,80%,84%,75%,91%,89%,100%,75%,91%,85%,78%,86%,87%,72%,84%,70%,72%,81%,81%,78%,81%,82%,81%,73%,79%,81%,78%,82%,86%,87%,81%,86%,79%,69%,73%,80%,82%,73%,72%,86%,83%,76%,78%,82%,72%

,"Base: All who say they would not report the incident if they witnessed or experienced the same type of anti-social behaviour in the future, or that it depends",702,13,17,7,8,-,14,12,13,13,9,9,18,10,20,61,15,10,13,11,11,12,21,12,50,11,12,9,8,12,8,15,19,16,13,12,16,16,8,13,18,54,45,18
Q.35.,Why would/ might you not report it again in the future?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lack of support from the Police,32%,23%,24%,-,38%,-,36%,8%,31%,15%,22%,-,44%,60%,30%,43%,20%,40%,31%,27%,9%,42%,24%,25%,34%,55%,25%,22%,25%,42%,38%,33%,32%,25%,23%,42%,50%,19%,13%,38%,33%,39%,29%,39%
,Too much hassle and time waiting for an unsatisfactory outcome,28%,23%,18%,14%,38%,-,21%,33%,31%,54%,22%,22%,33%,20%,25%,20%,67%,30%,46%,18%,36%,25%,14%,42%,24%,27%,33%,22%,13%,25%,13%,40%,21%,44%,23%,33%,19%,44%,25%,31%,22%,26%,36%,33%
,Police don't care,21%,-,18%,14%,38%,-,21%,17%,31%,15%,33%,22%,17%,40%,35%,18%,20%,20%,23%,9%,18%,33%,19%,8%,18%,18%,8%,44%,25%,50%,25%,27%,26%,25%,15%,25%,13%,13%,38%,23%,11%,26%,13%,17%
,No point - offenders would be let off (leniency),12%,8%,12%,29%,38%,-,21%,8%,8%,8%,11%,11%,-,20%,10%,16%,7%,10%,-,27%,18%,-,24%,8%,16%,9%,8%,33%,13%,17%,13%,13%,11%,-,8%,-,-,6%,13%,15%,17%,11%,11%,22%
,Previous experience,12%,8%,18%,14%,25%,-,14%,25%,8%,-,11%,11%,11%,20%,30%,10%,-,10%,15%,9%,18%,17%,10%,-,8%,18%,8%,-,-,33%,13%,20%,16%,-,8%,8%,19%,6%,25%,15%,6%,7%,7%,28%
,Depends on the circumstances,10%,15%,6%,29%,13%,-,7%,17%,8%,8%,22%,11%,-,10%,10%,8%,-,-,15%,9%,9%,25%,14%,-,10%,-,25%,11%,13%,-,-,7%,5%,6%,15%,25%,13%,19%,13%,15%,11%,7%,16%,11%
,Depends on the seriousness/ nature of the incident,9%,15%,6%,14%,25%,-,7%,8%,8%,-,11%,22%,11%,-,15%,5%,-,10%,8%,9%,18%,17%,10%,17%,12%,-,8%,22%,13%,-,-,-,11%,6%,15%,8%,19%,13%,13%,15%,6%,2%,9%,17%
,I would deal with it myself/ Take matters into my own hands,9%,-,6%,14%,13%,-,7%,8%,15%,15%,-,-,6%,-,5%,8%,13%,10%,15%,-,9%,-,5%,17%,6%,9%,-,33%,38%,-,25%,7%,5%,25%,15%,-,13%,19%,-,-,11%,7%,7%,11%
,Fear of intimidation/ repercussions,8%,23%,12%,14%,-,-,7%,-,-,15%,-,-,11%,10%,10%,11%,13%,10%,8%,9%,-,17%,10%,-,6%,9%,17%,-,-,-,25%,-,5%,13%,15%,-,6%,6%,-,8%,11%,6%,9%,11%
,Lack of faith in the justice system,6%,-,6%,14%,13%,-,21%,-,-,15%,-,-,-,-,15%,8%,13%,10%,8%,-,-,8%,10%,8%,4%,9%,-,-,-,8%,-,13%,-,6%,-,-,6%,-,13%,-,-,4%,4%,11%
,Slow process/ takes too long,5%,-,-,-,-,-,7%,-,-,-,-,11%,11%,10%,5%,5%,-,10%,8%,-,9%,8%,5%,-,4%,-,8%,-,-,17%,-,13%,5%,-,-,-,6%,-,13%,15%,6%,2%,7%,11%
,I was not kept informed/ Lack of communication,4%,-,6%,-,-,-,-,-,8%,-,-,-,-,-,5%,5%,7%,10%,-,-,-,-,14%,-,4%,18%,-,11%,-,25%,-,-,11%,-,-,8%,19%,-,13%,-,6%,-,2%,6%
,Too stressful/ Traumatic,3%,15%,-,-,-,-,-,-,-,15%,-,-,-,10%,-,7%,-,-,8%,-,9%,8%,-,-,4%,-,-,22%,-,-,13%,7%,-,-,8%,8%,-,-,-,-,6%,2%,2%,6%
,Just wouldn't want to get involved/ None of my business,2%,-,6%,-,-,-,7%,-,8%,-,-,22%,-,-,-,2%,-,-,-,9%,-,8%,5%,-,2%,-,-,11%,-,-,-,-,-,-,-,-,-,-,-,-,-,4%,2%,-
,I was made to feel like the criminal/ guilty one,2%,-,-,-,-,-,-,-,-,8%,-,-,-,-,-,3%,-,-,-,-,-,-,5%,-,4%,-,-,-,-,-,-,-,-,6%,-,-,-,6%,-,-,6%,4%,2%,6%
,Only if it involved a friend or family member,1%,-,-,-,13%,-,-,-,-,-,-,-,-,-,-,3%,-,-,-,-,-,-,5%,-,2%,-,-,-,-,-,-,-,-,-,-,8%,-,-,-,-,-,2%,-,6%
,Police could not deal with this problem,1%,-,-,-,-,-,-,-,-,-,-,-,-,-,5%,-,-,-,-,-,-,-,-,8%,2%,-,-,-,-,-,-,-,-,-,-,-,13%,-,-,-,6%,-,-,-
,Crime was not serious enough,1%,-,-,-,-,-,-,8%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8%,-,2%,2%,-
,Only if it involved me personally,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8%,-,-,2%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Other,3%,-,6%,-,-,-,-,-,8%,8%,-,11%,-,10%,-,-,7%,-,15%,-,9%,-,-,-,-,-,-,11%,-,-,-,-,-,-,8%,-,6%,13%,-,-,-,4%,-,11%
,None,*,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Don't know,1%,-,-,-,-,-,-,8%,-,-,-,-,-,-,-,2%,-,-,-,-,-,-,-,-,-,-,8%,-,-,8%,-,-,-,-,-,-,-,-,-,-,11%,2%,2%,-

,Base: All who have called the police in past year,5496,97,103,98,99,7,96,152,157,97,102,94,100,105,99,369,147,93,98,99,95,94,123,100,398,97,98,94,94,100,95,110,98,98,104,101,97,98,103,99,100,391,398,99
Q.36.,"What, if anything, could the police have done to improve the service you received on this occasion?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Quicker response time,14%,19%,14%,12%,9%,-,14%,12%,11%,14%,16%,11%,7%,11%,14%,17%,9%,15%,12%,18%,14%,11%,10%,13%,14%,14%,14%,9%,15%,9%,11%,16%,14%,15%,19%,9%,7%,11%,11%,14%,17%,17%,14%,18%
,More feedback/informed of the outcome/updated,12%,12%,15%,12%,7%,-,22%,13%,17%,10%,14%,10%,13%,16%,13%,11%,10%,13%,15%,13%,12%,13%,16%,5%,11%,10%,15%,9%,11%,8%,15%,19%,9%,9%,4%,10%,12%,8%,10%,10%,16%,12%,12%,11%
,Taken action/dealt with the issue,10%,12%,9%,5%,8%,14%,6%,10%,4%,8%,6%,6%,9%,10%,12%,10%,11%,16%,13%,13%,8%,12%,11%,10%,12%,13%,4%,9%,9%,13%,7%,13%,9%,10%,7%,9%,9%,11%,11%,15%,10%,9%,11%,17%
,More police on the beat/ more patrol cars/police presence/night patrols,8%,6%,2%,8%,8%,14%,6%,8%,8%,12%,8%,4%,9%,13%,7%,6%,7%,8%,3%,9%,1%,11%,14%,5%,7%,11%,5%,9%,5%,6%,5%,6%,5%,10%,9%,7%,5%,4%,9%,10%,6%,9%,9%,8%
,Turning up/attending the scene,6%,10%,10%,1%,1%,-,4%,4%,4%,2%,5%,4%,4%,12%,6%,8%,2%,8%,5%,7%,11%,5%,4%,6%,9%,10%,6%,3%,7%,8%,1%,5%,7%,6%,4%,2%,5%,9%,5%,10%,3%,9%,6%,8%
,Better/more communication/ information,6%,8%,7%,5%,5%,-,6%,4%,9%,5%,7%,4%,6%,3%,9%,5%,6%,5%,18%,6%,6%,5%,8%,8%,7%,3%,4%,6%,7%,2%,6%,11%,8%,4%,1%,1%,7%,7%,8%,6%,8%,9%,3%,7%
,Spoken to me/interviewed me/made face-to-face contact,3%,3%,3%,3%,5%,-,3%,1%,3%,2%,-,1%,1%,2%,1%,3%,1%,3%,4%,2%,4%,4%,5%,3%,3%,5%,3%,4%,1%,3%,2%,4%,4%,1%,1%,3%,4%,4%,4%,5%,3%,3%,3%,4%
,Taken complaint/issue more seriously,3%,1%,-,3%,2%,-,3%,1%,1%,1%,4%,5%,2%,3%,3%,4%,3%,4%,2%,-,2%,1%,4%,4%,5%,1%,3%,2%,3%,5%,1%,2%,1%,1%,3%,2%,4%,4%,3%,2%,6%,2%,1%,5%
,More helpful/ understanding/ supportive/sympathetic,2%,1%,2%,4%,-,-,1%,2%,4%,1%,1%,-,1%,2%,4%,3%,2%,3%,2%,2%,2%,-,-,1%,2%,5%,-,4%,4%,1%,-,2%,4%,-,2%,3%,4%,2%,1%,6%,2%,3%,2%,1%
,Monitored the situation/ checked up/returned/ stayed longer,2%,1%,4%,1%,1%,-,-,2%,2%,2%,4%,1%,4%,2%,3%,5%,3%,3%,-,2%,-,-,1%,4%,1%,2%,1%,3%,1%,1%,1%,4%,2%,1%,3%,2%,-,1%,1%,-,1%,3%,3%,4%
,Made an arrest,2%,2%,4%,-,1%,14%,-,2%,3%,2%,3%,1%,4%,2%,1%,2%,3%,3%,1%,1%,-,2%,-,1%,2%,2%,2%,2%,6%,3%,2%,1%,1%,4%,3%,5%,-,2%,-,3%,-,1%,2%,1%
,Spoken to the offenders,2%,1%,4%,1%,1%,-,1%,2%,1%,-,-,1%,1%,1%,-,1%,1%,2%,1%,3%,2%,-,2%,3%,2%,3%,1%,-,-,2%,2%,-,2%,5%,3%,3%,3%,1%,2%,2%,1%,2%,3%,3%
,Easier to contact police/direct number/ less use of call centres/free phone,2%,1%,1%,1%,1%,-,2%,1%,1%,1%,1%,1%,2%,2%,1%,1%,4%,-,3%,2%,2%,3%,2%,-,1%,-,1%,1%,1%,2%,1%,1%,1%,-,1%,1%,3%,3%,3%,5%,3%,2%,2%,3%
,Been harsher/more forceful,1%,2%,2%,1%,1%,-,2%,1%,1%,-,-,2%,2%,-,2%,2%,2%,-,4%,1%,2%,2%,1%,1%,1%,1%,2%,1%,2%,4%,1%,2%,4%,1%,-,1%,3%,1%,1%,1%,3%,1%,1%,1%
,Listened more,1%,2%,-,-,2%,-,1%,1%,1%,1%,1%,2%,2%,1%,2%,2%,2%,-,-,-,1%,2%,-,1%,1%,2%,1%,1%,1%,-,1%,2%,2%,2%,-,2%,-,1%,5%,1%,2%,2%,2%,2%
,Work better with council/schools/other bodies,1%,1%,2%,1%,1%,-,-,1%,1%,3%,-,-,1%,2%,2%,2%,1%,1%,2%,1%,2%,1%,1%,5%,3%,1%,-,-,1%,2%,2%,-,-,1%,2%,2%,3%,1%,1%,1%,-,1%,1%,2%
,Improved call centres/ customer service/better/ knowledgeable/local call centres,1%,2%,1%,-,1%,-,1%,1%,1%,4%,1%,2%,-,3%,-,2%,3%,1%,1%,1%,1%,1%,-,-,1%,1%,1%,-,1%,1%,-,1%,2%,-,2%,4%,1%,1%,-,2%,2%,2%,2%,1%
,Given a caution/warning,1%,1%,2%,1%,2%,-,1%,1%,1%,-,1%,2%,2%,1%,2%,2%,1%,1%,-,-,-,1%,1%,-,1%,-,1%,2%,-,-,-,-,3%,2%,3%,2%,1%,1%,-,2%,-,1%,1%,3%
,Spoken to offenders parents,1%,1%,-,-,5%,-,-,2%,-,1%,1%,2%,1%,1%,-,2%,1%,3%,-,-,1%,2%,-,1%,1%,1%,1%,-,2%,1%,1%,1%,-,1%,-,-,1%,2%,-,2%,2%,1%,2%,-
,Obtained a conviction/ charged them/taken them to court,1%,2%,1%,-,-,-,1%,1%,1%,1%,-,-,4%,1%,1%,1%,2%,-,2%,3%,-,-,-,1%,1%,1%,1%,1%,2%,1%,-,2%,-,1%,1%,1%,2%,1%,-,1%,2%,1%,1%,-
,More local police/not so far from area/have local police station,1%,1%,1%,-,-,-,-,1%,3%,-,-,1%,2%,2%,1%,1%,3%,-,-,5%,1%,1%,-,2%,1%,-,2%,1%,4%,1%,-,1%,-,2%,2%,-,-,-,2%,2%,-,1%,1%,-
,More staff/recruit more police officers (nsf),1%,-,1%,1%,-,14%,-,1%,1%,-,-,-,1%,1%,-,1%,-,2%,1%,2%,-,1%,1%,1%,2%,-,-,1%,1%,-,-,-,1%,1%,3%,3%,1%,2%,-,2%,-,1%,-,2%
,Enforced the law/do their job properly,1%,-,-,1%,-,-,-,1%,1%,1%,-,-,2%,-,-,*,1%,-,1%,1%,-,-,2%,1%,2%,-,-,1%,1%,1%,1%,-,-,-,1%,3%,1%,1%,1%,-,3%,2%,1%,-
,Give police/PCSOs more powers,1%,-,-,-,1%,-,-,1%,1%,1%,1%,1%,1%,1%,1%,1%,-,2%,3%,-,2%,1%,-,2%,1%,-,-,2%,2%,1%,-,-,2%,1%,-,1%,1%,1%,3%,4%,-,1%,*,1%
,Installed security cameras/cctv,1%,-,1%,-,-,-,1%,-,3%,1%,-,-,1%,1%,-,1%,1%,1%,2%,-,-,-,2%,1%,1%,-,-,-,-,2%,1%,-,1%,-,1%,-,1%,1%,1%,3%,1%,1%,*,1%
,Removed them from the scene,1%,-,2%,-,-,-,2%,-,2%,-,1%,1%,-,2%,1%,1%,1%,1%,1%,-,-,1%,1%,-,1%,1%,-,1%,1%,1%,-,1%,1%,2%,-,1%,1%,-,-,-,-,1%,1%,-
,They should  be more polite/not rude/shouting,1%,-,1%,-,-,-,-,1%,1%,-,1%,-,2%,-,-,1%,-,1%,1%,-,1%,2%,1%,1%,1%,1%,-,1%,2%,-,-,1%,1%,1%,-,-,1%,3%,1%,-,-,2%,1%,1%
,More funding/resources,1%,1%,-,-,2%,-,-,-,1%,1%,1%,-,-,-,-,*,1%,-,1%,-,-,-,-,2%,*,1%,1%,-,4%,-,-,-,-,-,2%,-,1%,-,1%,4%,-,1%,1%,1%
,More PCSOs on the beat,1%,-,-,1%,-,-,-,1%,1%,1%,-,-,-,1%,-,*,3%,1%,-,-,-,2%,-,-,-,-,3%,1%,1%,-,-,-,1%,-,-,-,-,-,1%,1%,-,1%,1%,-
,Removed the item/vehicle,1%,-,2%,-,-,14%,1%,-,1%,-,1%,-,1%,1%,3%,*,1%,-,1%,-,-,1%,-,2%,1%,-,1%,1%,-,-,2%,1%,1%,-,-,-,-,-,-,-,-,*,1%,-
,Treat people with more respect,1%,-,-,1%,-,-,-,1%,1%,-,2%,-,-,-,-,1%,-,2%,1%,1%,-,1%,-,-,1%,-,-,1%,-,-,-,-,-,4%,1%,-,-,-,-,1%,2%,1%,-,1%
